customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,totalcharge_tenure_ratio
3841-NFECX,71,1,2,3,96.35,6766.95,0,95.31
4929-XIHVW,2,1,0,3,95.5,181.65,0,90.82
6827-IEAUQ,27,1,1,1,66.15,1874.45,0,69.42
7310-EGVHZ,1,1,0,2,20.2,20.2,0,20.2
3413-BMNZE,1,1,0,2,45.25,45.25,0,45.25
6234-RAAPL,72,1,2,2,99.9,7251.7,0,100.72
6047-YHPVI,5,1,0,0,69.7,316.9,1,63.38
6572-ADKRS,46,1,0,3,74.8,3548.3,0,77.14
5380-WJKOV,34,1,0,0,106.35,3549.25,1,104.39
8168-UQWWF,11,1,0,2,97.85,1105.4,1,100.49
8865-TNMNX,10,1,1,1,49.55,475.7,0,47.57
9489-DEDVP,70,1,2,3,69.2,4872.35,0,69.6
9867-JCZSP,17,1,1,1,20.75,418.25,0,24.6
4671-VJLCL,63,1,2,3,79.85,4861.45,0,77.17
4080-IIARD,13,1,0,0,76.2,981.45,0,75.5
3714-NTNFO,49,1,0,0,84.5,3906.7,0,79.73
5948-UJZLF,2,1,0,1,49.25,97.0,0,48.5
7760-OYPDY,2,1,0,0,80.65,144.15,1,72.08
7639-LIAYI,52,1,2,3,79.75,4217.8,0,81.11
2954-PIBKO,69,1,2,3,64.15,4254.1,0,61.65
8012-SOUDQ,43,1,0,0,90.25,3838.75,0,89.27
9420-LOJKX,15,1,0,3,99.1,1426.4,1,95.09
6575-SUVOI,25,1,0,3,69.5,1752.65,0,70.11
7495-OOKFY,8,1,0,3,80.65,633.3,1,79.16
4667-QONEA,60,1,1,3,74.85,4456.35,0,74.27
1658-BYGOY,18,1,0,0,95.45,1752.55,1,97.36
8769-KKTPH,63,1,1,3,99.65,6311.2,0,100.18
5067-XJQFU,66,1,1,0,108.45,7076.35,0,107.22
3957-SQXML,34,1,2,3,24.95,894.3,0,26.3
5954-BDFSG,72,1,2,3,107.5,7853.7,0,109.08
0434-CSFON,47,1,0,0,100.5,4707.1,0,100.15
1215-FIGMP,60,1,0,2,89.9,5450.7,0,90.84
0526-SXDJP,72,0,2,2,42.1,2962.0,0,41.14
0557-ASKVU,18,1,1,3,54.4,957.1,0,53.17
5698-BQJOH,9,1,0,0,94.4,857.25,1,95.25
5122-CYFXA,3,1,0,0,75.3,244.1,0,81.37
8627-ZYGSZ,47,1,1,0,78.9,3650.35,0,77.67
3410-YOQBQ,31,1,2,1,79.2,2497.2,0,80.55
3170-NMYVV,50,1,2,2,20.15,930.9,0,18.62
7410-OIEDU,10,1,0,1,79.85,887.35,0,88.74
2273-QCKXA,1,1,0,1,49.05,49.05,0,49.05
0731-EBJQB,52,1,1,0,20.4,1090.65,0,20.97
1891-QRQSA,64,1,2,2,111.6,7099.0,0,110.92
8028-PNXHQ,62,1,2,2,24.25,1424.6,0,22.98
5630-AHZIL,3,1,0,2,64.5,177.4,0,59.13
2673-CXQEU,56,1,1,0,110.5,6139.5,0,109.63
6416-JNVRK,46,1,1,3,55.65,2688.85,0,58.45
5590-ZSKRV,8,1,0,1,54.65,482.25,0,60.28
0191-ZHSKZ,30,1,0,0,74.75,2111.3,0,70.38
3887-PBQAO,45,1,1,3,25.9,1216.6,0,27.04
5919-TMRGD,1,1,0,0,79.35,79.35,1,79.35
8108-UXRQN,11,0,0,0,50.55,565.35,0,51.4
9191-MYQKX,7,1,0,2,75.15,496.9,1,70.99
9919-YLNNG,42,1,0,2,103.8,4327.5,0,103.04
0318-ZOPWS,49,1,2,2,20.15,973.35,0,19.86
4445-ZJNMU,9,1,0,3,99.3,918.75,0,102.08
4808-YNLEU,35,1,1,2,62.15,2215.45,0,63.3
1862-QRWPE,48,1,2,2,20.65,1057.0,0,22.02
2796-NNUFI,46,1,2,1,19.95,927.1,0,20.15
3016-KSVCP,29,0,0,1,33.75,1009.25,0,34.8
4767-HZZHQ,30,1,0,2,82.05,2570.2,0,85.67
2424-WVHPL,1,1,0,0,74.7,74.7,0,74.7
7233-PAHHL,66,1,2,1,84.0,5714.25,0,86.58
6067-NGCEU,65,1,0,3,111.05,7107.0,0,109.34
9848-JQJTX,72,1,2,2,100.9,7459.05,0,103.6
8637-XJIVR,12,1,0,0,78.95,927.35,1,77.28
9803-FTJCG,71,1,1,3,66.85,4748.7,0,66.88
0278-YXOOG,5,1,0,1,21.05,113.85,1,22.77
3212-KXOCR,52,1,2,2,21.0,1107.2,0,21.29
4598-XLKNJ,25,1,0,0,98.5,2514.5,1,100.58
6380-ARCEH,1,1,0,1,20.2,20.2,0,20.2
3679-XASPY,1,1,0,0,19.45,19.45,0,19.45
7123-WQUHX,38,1,1,2,95.0,3605.6,0,94.88
5386-THSLQ,66,0,1,2,45.55,3027.25,0,45.87
3192-NQECA,68,1,2,2,110.0,7611.85,1,111.94
6180-YBIQI,5,0,0,1,24.3,100.2,0,20.04
6728-DKUCO,72,1,1,0,104.15,7303.05,0,101.43
9750-BOOHV,32,0,1,1,30.15,927.65,0,28.99
8597-CWYHH,43,1,1,1,94.35,3921.3,0,91.19
2848-YXSMW,72,1,2,3,19.4,1363.25,0,18.93
0486-HECZI,55,1,0,0,96.75,5238.9,1,95.25
4549-ZDQYY,52,1,1,3,57.95,3042.25,0,58.5
5712-AHQNN,43,1,0,0,91.65,3954.1,0,91.96
4846-WHAFZ,37,1,0,0,76.5,2868.15,1,77.52
5256-SKJGO,64,0,2,0,54.6,3423.5,0,53.49
3071-VBYPO,3,1,0,0,89.85,248.4,0,82.8
9560-BBZXK,36,0,2,2,31.05,1126.35,0,31.29
5299-RULOA,10,1,0,0,100.25,1064.65,1,106.46
8402-OOOHJ,41,1,2,1,20.65,835.15,0,20.37
9445-ZUEQE,27,1,0,3,85.2,2151.6,0,79.69
1091-SOZGA,56,1,1,3,99.8,5515.45,0,98.49
2928-HLDBA,6,1,0,1,20.7,112.75,0,18.79
0404-SWRVG,3,1,0,0,74.4,229.55,1,76.52
6497-TILVL,7,1,0,1,50.7,350.35,0,50.05
7219-TLZHO,4,1,0,1,20.85,62.9,0,15.72
4622-YNKIJ,33,1,2,0,88.95,3027.65,0,91.75
4412-YLTKF,27,1,0,0,78.05,2135.5,1,79.09
6734-PSBAW,72,1,2,2,23.55,1723.95,0,23.94
3930-ZGWVE,1,1,0,1,19.75,19.75,0,19.75
2639-UGMAZ,71,0,1,0,56.45,3985.35,0,56.13
2876-GZYZC,13,1,0,0,85.95,1215.65,0,93.51
6207-WIOLX,25,0,0,3,58.6,1502.65,1,60.11
8587-XYZSF,67,1,2,2,50.55,3260.1,0,48.66
3091-FYHKI,1,0,0,0,35.45,35.45,1,35.45
2372-HWUHI,2,1,0,0,44.35,81.25,1,40.62
7799-LGRDP,43,1,2,3,25.7,1188.2,0,27.63
7850-VWJUU,23,1,0,2,75.0,1778.5,0,77.33
3774-VBNXY,64,1,2,1,20.2,1277.75,0,19.96
6217-KDYWC,57,1,2,1,19.6,1170.55,0,20.54
0390-DCFDQ,1,1,0,1,70.45,70.45,1,70.45
3146-MSEGF,72,1,2,3,88.05,6425.65,0,89.25
4080-OGPJL,8,1,0,0,71.15,563.65,1,70.46
1095-WGNGG,61,1,2,2,101.05,5971.25,0,97.89
2636-SJDOU,64,1,1,3,84.3,5289.05,0,82.64
1131-QQZEB,71,1,2,2,23.95,1756.2,0,24.74
5716-EZXZN,65,1,2,3,99.05,6416.7,0,98.72
6837-BJYDQ,3,1,1,1,19.6,61.35,0,20.45
2135-RXIHG,1,1,0,0,45.65,45.65,1,45.65
6440-DKQGE,30,1,1,3,64.5,1929.95,0,64.33
3466-BYAVD,15,1,0,1,69.5,1071.4,0,71.43
3780-YVMFA,8,1,0,0,68.55,564.35,0,70.54
3874-EQOEP,7,1,0,1,95.0,655.5,1,93.64
1679-JRFBR,70,1,1,3,108.15,7930.55,0,113.29
9073-ZZIAY,62,1,2,0,86.1,5215.25,0,84.12
3077-RSNTJ,6,1,0,1,19.7,113.5,0,18.92
6551-GNYDG,14,1,0,2,80.9,1152.8,0,82.34
9167-APMXZ,22,1,0,2,84.15,1821.95,0,82.82
2749-CTKAJ,22,1,1,1,20.15,419.9,0,19.09
6371-NZYEG,16,1,2,1,64.25,1024.0,0,64.0
7554-NEWDD,10,1,2,2,25.7,251.6,0,25.16
8992-VONJD,13,1,0,0,56.0,764.55,0,58.81
0867-MKZVY,20,1,0,0,82.4,1592.35,1,79.62
4482-EWFMI,2,1,0,0,69.7,135.2,0,67.6
4648-YPBTM,53,1,2,2,73.9,3958.25,0,74.68
2907-ILJBN,11,1,1,1,20.6,233.9,0,21.26
6345-FZOQH,69,1,2,1,19.9,1363.45,0,19.76
3376-BMGFE,4,1,0,2,70.9,273.0,1,68.25
5997-OPVFA,72,1,2,2,89.05,6254.45,0,86.87
3445-HXXGF,58,0,0,0,45.3,2651.2,1,45.71
1159-WFSGR,16,1,0,0,20.4,321.4,0,20.09
7654-YWJUF,43,1,1,2,84.25,3539.25,0,82.31
1875-QIVME,2,1,0,0,104.4,242.8,1,121.4
6727-IOTLZ,14,1,2,1,81.95,1181.75,0,84.41
0691-JVSYA,53,1,1,2,94.85,5000.2,1,94.34
5918-VUKWP,32,1,1,2,20.55,654.55,0,20.45
1744-JHKYS,34,1,0,0,24.7,780.2,0,22.95
2656-FMOKZ,15,1,0,1,74.45,1145.7,1,76.38
2070-FNEXE,7,1,0,2,76.45,503.6,1,71.94
5947-SGKCL,15,1,0,2,105.35,1559.25,0,103.95
3712-PKXZA,61,1,1,3,20.55,1252.0,0,20.52
6317-YPKDH,1,0,0,2,29.95,29.95,1,29.95
6582-OIVSP,1,1,0,1,45.3,45.3,0,45.3
9367-WXLCH,8,1,0,2,84.5,662.65,1,82.83
5524-KHNJP,33,1,1,3,74.75,2453.3,0,74.34
1918-ZBFQJ,13,1,0,0,79.25,1111.65,1,85.51
1024-GUALD,1,0,0,0,24.8,24.8,1,24.8
4827-USJHP,20,1,0,1,51.8,1023.85,0,51.19
8167-GJLRN,3,0,0,0,30.4,82.15,0,27.38
0956-SYCWG,13,1,1,0,19.65,244.8,0,18.83
8017-UVSZU,40,1,0,3,56.6,2379.1,0,59.48
7100-FQPRV,43,1,1,3,71.9,3173.35,0,73.8
2472-OVKUP,6,1,0,0,91.0,531.0,1,88.5
2984-RGEYA,69,1,2,2,19.75,1375.4,0,19.93
9680-NIAUV,72,1,2,3,109.7,8129.3,0,112.91
2146-EGVDT,59,1,2,3,19.3,1192.7,0,20.22
2604-IJPDU,20,1,0,0,96.55,1901.65,0,95.08
9178-JHUVJ,24,1,2,2,24.1,587.4,0,24.48
6168-YBYNP,59,1,0,0,111.35,6519.75,0,110.5
7255-SSFBC,72,1,2,2,112.25,8041.65,0,111.69
3645-DEYGF,1,1,0,1,20.75,20.75,0,20.75
9323-HGFWY,27,1,1,3,101.9,2681.15,0,99.3
8544-GOQSH,14,1,0,3,80.05,1112.3,0,79.45
3363-DTIVD,71,1,2,0,105.55,7405.5,0,104.3
7018-WBJNK,13,1,0,3,78.3,1033.95,0,79.53
9142-KZXOP,44,1,0,3,68.85,2958.95,0,67.25
7674-YTAFD,33,1,1,2,79.95,2684.85,0,81.36
6348-SNFUS,72,0,2,3,55.45,4179.2,0,58.04
1285-OKIPP,1,1,0,0,79.9,79.9,1,79.9
7825-ECJRF,19,1,0,0,106.6,1934.45,1,101.81
1347-KTTTA,64,1,1,3,102.45,6654.1,0,103.97
7841-TZDMQ,2,1,0,3,46.0,84.5,1,42.25
4195-NZGTA,1,0,0,0,25.25,25.25,0,25.25
7157-SMCFK,61,1,2,1,19.75,1124.2,0,18.43
4709-LKHYG,29,1,1,0,20.0,540.05,0,18.62
2504-DSHIH,23,1,0,0,86.8,1975.85,0,85.91
0699-NDKJM,57,0,0,2,58.75,3437.45,0,60.31
9286-BHDQG,72,0,2,3,45.25,3139.8,0,43.61
0230-WEQUW,66,0,2,2,56.6,3789.2,0,57.41
2040-LDIWQ,65,1,2,2,84.2,5324.5,0,81.92
6496-JDSSB,8,1,0,2,80.0,624.6,0,78.08
9408-SSNVZ,4,1,0,0,70.15,268.35,1,67.09
4443-EMBNA,71,1,2,2,24.75,1836.9,0,25.87
6469-MRVET,1,1,1,0,20.2,20.2,0,20.2
0742-MOABM,4,1,0,1,50.05,179.35,1,44.84
5961-VUSRV,12,1,1,2,19.35,219.35,0,18.28
6778-JFCMK,24,0,1,1,50.6,1288.75,0,53.7
6341-JVQGF,31,1,1,1,81.15,2545.75,0,82.12
2232-DMLXU,1,1,0,1,55.2,55.2,1,55.2
4811-JBUVU,30,1,0,3,89.9,2723.15,0,90.77
0945-TSONX,47,1,2,3,85.3,4107.25,0,87.39
2651-ZCBXV,54,1,2,3,108.0,5760.65,0,106.68
3316-UWXUY,50,1,0,3,93.5,4747.5,0,94.95
8937-RDTHP,1,1,0,1,84.6,84.6,1,84.6
7083-MIOPC,72,1,2,3,20.25,1566.9,0,21.76
1984-GPTEH,29,1,0,0,25.15,702.0,0,24.21
1251-KRREG,2,1,0,1,54.4,114.1,1,57.05
0621-JFHOL,10,0,2,1,29.6,299.05,0,29.9
9903-LYSAB,18,1,0,0,73.15,1305.95,0,72.55
0094-OIFMO,11,1,0,0,95.0,1120.3,1,101.85
9227-UAQFT,16,1,2,1,19.75,284.35,0,17.77
7301-ABVAD,72,1,2,2,86.6,6350.5,0,88.2
6614-FHDBO,72,1,2,2,109.2,7878.3,0,109.42
7576-ASEJU,41,1,1,3,74.7,3187.65,0,77.75
9058-HRZSV,65,1,0,0,94.4,6126.15,0,94.25
4522-AKYLR,13,1,0,0,54.8,731.3,0,56.25
0221-WMXNQ,4,1,0,0,75.35,273.4,0,68.35
0303-UNCIP,41,1,1,1,65.0,2531.8,0,61.75
9947-OTFQU,15,1,0,0,74.4,1074.3,1,71.62
0322-YINQP,1,1,0,1,48.55,48.55,1,48.55
0959-WHOKV,42,1,1,0,99.0,4298.45,0,102.34
4075-JFPGR,51,1,1,0,93.5,4619.55,0,90.58
4629-NRXKX,2,1,0,0,70.4,147.15,1,73.58
9514-JDSKI,1,0,0,0,40.2,40.2,1,40.2
3282-ZISZV,32,1,1,3,83.7,2633.3,0,82.29
3675-YDUPJ,10,1,0,1,19.85,193.05,0,19.3
4111-BNXIF,67,0,2,0,59.55,4103.9,0,61.25
7017-VFHAY,61,1,2,3,115.1,7008.15,0,114.89
6655-LHBYW,50,1,1,3,114.35,5791.1,0,115.82
4959-JOSRX,2,1,0,3,44.6,80.55,1,40.28
5046-NUHWD,29,0,0,0,45.0,1228.65,0,42.37
7273-TEFQD,3,0,0,0,41.15,132.2,1,44.07
3606-TWKGI,13,1,0,0,106.9,1364.3,1,104.95
7529-ZDFXI,57,1,0,0,89.85,4925.35,0,86.41
7605-BDWDC,31,0,2,2,49.85,1520.1,0,49.04
1950-KSVVJ,45,1,1,1,113.3,5032.25,0,111.83
0123-CRBRT,61,1,2,1,88.1,5526.75,0,90.6
6292-TOSSS,50,1,2,2,24.9,1195.25,0,23.9
3197-ARFOY,19,1,0,1,105.0,2007.25,0,105.64
6323-AYBRX,59,1,2,1,19.35,1099.6,1,18.64
7014-ZZXAW,71,1,2,3,24.25,1732.95,0,24.41
4385-GZQXV,16,1,0,0,94.45,1511.2,1,94.45
7633-MVPUY,57,1,2,0,59.75,3450.15,0,60.53
6366-ZGQGL,1,0,0,2,24.8,24.8,1,24.8
4716-HHKQH,20,1,0,0,107.05,2172.05,0,108.6
5940-AHUHD,1,1,0,1,70.6,70.6,1,70.6
6432-TWQLB,5,1,0,0,85.4,401.1,1,80.22
4484-GLZOU,52,1,0,0,105.05,5624.85,1,108.17
3179-GBRWV,21,1,0,2,64.95,1339.8,0,63.8
8645-KWHJO,14,0,0,0,55.0,771.95,0,55.14
4130-MZLCC,5,1,0,2,50.55,244.75,0,48.95
0314-TKOSI,6,1,0,1,55.15,322.9,0,53.82
8229-MYEJZ,10,1,0,0,51.2,498.25,0,49.82
2080-SRCDE,1,1,0,1,25.4,25.4,0,25.4
9577-WJVCQ,68,1,0,1,54.45,3687.75,0,54.23
9512-UIBFX,18,1,0,1,95.15,1779.95,1,98.89
6202-DYYFX,22,1,1,3,76.0,1783.6,0,81.07
3808-HFKDE,20,1,0,0,44.35,927.15,0,46.36
5583-SXDAG,1,1,0,0,70.0,70.0,1,70.0
3488-PGMQJ,8,1,0,0,74.5,606.55,1,75.82
3580-REOAC,10,1,0,3,44.85,435.4,1,43.54
7534-BFESC,24,1,0,0,76.1,1712.7,1,71.36
3727-OWVYD,35,1,1,1,61.2,2021.2,0,57.75
2294-SALNE,23,1,1,1,86.8,1940.8,0,84.38
4847-TAJYI,6,1,0,0,89.35,567.8,0,94.63
1563-IWQEX,12,1,0,1,19.7,220.35,0,18.36
8203-XJZRC,1,1,0,1,20.25,20.25,0,20.25
6556-DBKZF,71,1,2,0,76.05,5436.45,0,76.57
6851-WEFYX,35,1,0,0,100.8,3437.5,0,98.21
2985-JUUBZ,40,1,0,0,74.55,3015.75,0,75.39
6390-DSAZX,1,1,0,1,73.6,73.6,1,73.6
0895-LMRSF,23,1,1,2,64.9,1509.8,0,65.64
8098-LLAZX,4,1,0,0,95.45,396.1,1,99.02
8266-VBFQL,4,1,0,0,90.4,356.65,0,89.16
8181-YHCMF,68,0,2,3,60.3,4109.0,0,60.43
2240-HSJQD,38,1,0,1,81.85,3141.7,0,82.68
1248-DYXUB,52,1,2,1,24.8,1229.1,0,23.64
0265-EDXBD,32,1,0,0,74.9,2303.35,1,71.98
4115-BNPJY,29,1,2,1,75.55,2054.4,0,70.84
3167-SNQPL,38,1,0,0,101.15,3741.85,0,98.47
4091-TVOCN,48,1,1,3,78.75,3682.45,0,76.72
1098-TDVUQ,1,1,0,2,19.25,19.25,0,19.25
7277-OZCGZ,22,1,0,0,89.05,1886.25,0,85.74
1557-EMYVT,43,1,2,3,115.05,4895.1,0,113.84
2799-ARNLO,5,1,0,0,69.35,341.6,0,68.32
7563-BIUPC,5,1,0,0,80.6,415.55,1,83.11
5027-YOCXN,51,1,1,3,110.05,5686.4,0,111.5
3973-SKMLN,71,1,2,3,19.9,1355.1,0,19.09
2321-OMBXY,38,1,1,3,80.3,3058.65,1,80.49
2840-XANRC,24,1,0,0,93.15,2231.05,1,92.96
6745-JEFZB,35,1,0,3,91.5,3236.35,0,92.47
5020-ZSTTY,54,1,1,2,82.45,4350.1,1,80.56
9880-TDQAC,72,0,2,0,60.0,4264.0,0,59.22
8705-WZCYL,1,1,0,0,44.8,44.8,0,44.8
7102-JJVTX,9,1,1,1,48.6,422.3,0,46.92
8626-PTQGE,69,0,2,2,60.05,4176.7,0,60.53
4983-CLMLV,52,1,0,3,102.7,5138.1,0,98.81
5701-YVSVF,11,1,0,0,82.9,880.05,0,80.0
5804-LEPIM,2,1,0,0,70.35,139.05,1,69.53
5697-GOMBF,28,0,0,0,35.9,973.65,0,34.77
2739-CACDQ,17,1,0,3,82.65,1470.05,0,86.47
9385-EHGDO,35,1,2,1,19.85,739.35,0,21.12
9498-FIMXL,8,1,1,1,19.2,161.95,0,20.24
2379-GYFLQ,46,1,1,3,94.9,4422.95,0,96.15
0122-OAHPZ,7,1,0,0,73.85,511.25,1,73.04
2868-SNELZ,2,1,0,1,80.6,155.8,1,77.9
4322-RCYMT,68,1,1,2,75.8,5293.95,1,77.85
6680-NENYN,43,1,2,0,104.6,4759.85,1,110.69
2088-IEBAU,68,1,2,0,88.15,6148.45,0,90.42
7982-VCELR,36,1,0,3,94.8,3565.65,0,99.05
1343-EHPYB,63,1,0,0,103.4,6603.0,1,104.81
6035-BXTTY,32,1,0,2,54.65,1830.1,0,57.19
6885-PKOAM,71,1,2,3,85.75,6223.8,0,87.66
7520-HQWJU,66,1,0,2,67.45,4508.65,0,68.31
9639-BUJXT,63,1,1,1,20.5,1328.15,0,21.08
5924-SNGKP,41,1,1,3,20.25,865.0,0,21.1
0021-IKXGC,1,1,0,0,72.1,72.1,0,72.1
2034-GDRCN,2,1,0,0,90.4,168.2,1,84.1
8966-SNIZF,70,1,2,2,19.45,1303.5,0,18.62
6243-OZGFH,23,0,0,0,44.95,996.85,0,43.34
4654-DLAMQ,64,1,1,2,97.0,6430.9,0,100.48
0513-RBGPE,37,1,2,3,62.8,2278.75,0,61.59
5160-UXJED,17,1,1,1,44.6,681.4,0,40.08
4115-NZRKS,7,1,0,0,89.15,574.35,0,82.05
0219-YTZUE,4,1,0,2,84.8,371.9,1,92.98
0623-IIHUG,21,0,0,0,41.9,840.1,1,40.0
4572-DVCGN,10,1,0,2,80.25,846.0,1,84.6
3351-NGXYI,16,1,0,0,54.1,889.0,0,55.56
8984-EYLLL,64,1,2,0,105.25,6823.4,0,106.62
9057-MSWCO,27,0,0,3,30.75,805.1,1,29.82
9833-TGFHX,42,1,1,0,97.1,4016.75,0,95.64
9294-TDIPC,5,1,0,1,20.2,83.75,0,16.75
5229-DTFYB,41,1,2,2,98.8,3959.15,0,96.56
0104-PPXDV,58,1,1,3,50.3,2878.55,0,49.63
5176-LMJXE,47,1,2,1,20.55,945.7,0,20.12
3583-KRKMD,18,1,0,2,75.9,1373.05,0,76.28
1010-DIAUQ,5,1,0,2,96.5,492.55,1,98.51
9069-LGEUL,23,1,0,2,59.95,1406.0,0,61.13
7302-ZHMHP,1,1,0,1,19.15,19.15,0,19.15
9571-EDEBV,71,1,1,3,98.65,6962.85,0,98.07
3520-FJGCV,72,1,2,3,112.6,8126.65,0,112.87
6563-VRERX,33,1,1,1,20.6,690.25,0,20.92
0259-GBZSH,2,1,0,0,85.65,181.5,1,90.75
6122-EFVKN,24,0,2,1,35.75,830.8,0,34.62
2805-EDJPQ,56,1,1,3,99.75,5608.4,0,100.15
6862-CQUMB,37,1,0,3,96.1,3646.8,0,98.56
7156-MXBJE,43,1,1,3,85.1,3662.25,0,85.17
6158-HDPXZ,1,0,0,1,25.35,25.35,0,25.35
9601-BRXPO,25,1,0,2,104.95,2566.5,1,102.66
2863-IMQDR,61,1,2,0,89.65,5308.7,0,87.03
5686-CMAWK,17,1,1,0,86.75,1410.25,0,82.96
5651-CRHKQ,41,1,1,2,86.2,3339.05,0,81.44
6905-NIQIN,1,1,0,1,50.65,50.65,1,50.65
8204-YJCLA,72,0,2,2,64.8,4732.35,0,65.73
5167-ZFFMM,1,1,0,3,90.85,90.85,1,90.85
6583-SZVGP,48,1,2,2,108.1,5067.45,0,105.57
4895-TMWIR,11,1,0,1,19.95,214.75,1,19.52
0533-BNWKF,55,1,0,0,85.45,4874.7,1,88.63
1708-PBBOA,42,0,1,0,54.75,2348.45,0,55.92
8782-LKFPK,44,1,0,1,90.4,4063.0,0,92.34
5522-JBWMO,1,1,0,0,44.0,44.0,0,44.0
3597-MVHJT,27,1,0,2,95.6,2595.25,0,96.12
9774-NRNAU,27,1,0,2,84.8,2309.55,0,85.54
0224-RLWWD,2,1,0,0,44.3,89.3,0,44.65
9967-ATRFS,19,1,0,1,19.9,367.55,0,19.34
3951-NJCVI,42,1,0,0,95.05,3944.5,0,93.92
2977-CEBSX,66,1,2,3,90.05,5965.95,0,90.39
0177-PXBAT,33,1,0,2,109.9,3694.7,0,111.96
6599-CEBNN,34,1,0,3,73.95,2524.45,1,74.25
2519-ERQOJ,33,0,0,0,54.6,1803.7,0,54.66
5876-QMYLD,23,1,1,1,20.05,415.1,0,18.05
2277-AXSDC,32,1,1,2,19.75,624.15,0,19.5
9442-JTWDL,11,1,1,3,20.05,237.7,0,21.61
0979-PHULV,69,1,0,3,99.45,7007.6,1,101.56
3067-SVMTC,68,1,1,2,55.9,3848.8,0,56.6
5495-GPSRW,20,1,2,1,19.7,419.4,0,20.97
7606-BPHHN,72,1,2,3,19.8,1468.75,0,20.4
4742-DRORA,60,1,1,2,95.4,5812.0,0,96.87
0111-KLBQG,32,1,0,1,93.95,2861.45,0,89.42
4800-VHZKI,1,1,0,1,19.9,19.9,1,19.9
7989-CHGTL,1,1,0,1,19.6,19.6,1,19.6
0334-GDDSO,3,1,0,0,81.35,233.7,1,77.9
4163-NCJAK,46,1,1,2,24.45,1066.15,0,23.18
5233-AOZUF,29,1,0,0,74.95,2149.05,0,74.11
5973-EJGDP,51,1,0,0,87.35,4473.0,0,87.71
1996-DBMUS,48,1,0,2,70.65,3545.05,0,73.86
7916-VCCPB,16,1,0,2,73.25,1195.75,0,74.73
4686-GEFRM,70,1,2,2,98.7,6858.9,0,97.98
5249-QYHEX,40,1,2,1,24.8,1024.7,0,25.62
0578-SKVMF,22,1,0,0,83.3,1845.9,1,83.9
5564-NEMQO,1,1,0,2,75.3,75.3,1,75.3
2233-FAGXV,5,1,0,1,24.3,132.25,0,26.45
5605-IYGFG,7,1,0,2,69.85,515.45,0,73.64
7663-ZTEGJ,29,1,1,3,100.55,2830.45,0,97.6
3935-TBRZZ,44,1,1,1,25.7,1110.5,0,25.24
8111-BKVDS,10,0,0,2,40.7,449.3,0,44.93
2055-SIFSS,55,1,0,2,51.65,2838.55,0,51.61
2806-MLNTI,52,1,1,2,105.1,5376.4,0,103.39
8734-DKSTZ,10,1,0,0,85.95,858.6,0,85.86
4360-PNRQB,18,1,0,2,75.6,1395.05,0,77.5
6152-ONASV,68,1,1,2,58.25,3975.7,0,58.47
9063-ZGTUY,61,1,0,1,19.4,1182.55,1,19.39
7781-HVGMK,72,0,2,3,65.2,4784.45,0,66.45
2181-UAESM,2,1,0,0,53.45,119.5,0,59.75
2957-LOLHO,12,1,0,2,45.4,518.9,1,43.24
6048-NJXHX,41,1,2,0,19.75,899.45,0,21.94
2320-SLKMB,26,0,0,3,44.45,1183.8,0,45.53
4980-URKXC,36,1,1,2,20.85,720.05,0,20.0
4376-KFVRS,72,1,2,3,114.05,8468.2,0,117.61
